,C,degree,gamma,kernel,score
146,60,2,scale,poly,0.6325000000000001
147,60,2,auto,linear,0.74
148,60,2,auto,rbf,0.85875
149,60,2,auto,poly,0.6325000000000001
150,60,2,1,linear,0.74
151,60,2,1,rbf,0.865
152,60,2,1,poly,0.6325000000000001
153,60,2,0.1,linear,0.74
154,60,2,0.1,rbf,0.85125
155,60,2,0.1,poly,0.635
156,60,3,scale,linear,0.74
157,60,3,scale,rbf,0.85625
158,60,3,scale,poly,0.74625
159,60,3,auto,linear,0.74
160,60,3,auto,rbf,0.85875
161,60,3,auto,poly,0.7449999999999999
162,60,3,1,linear,0.74
163,60,3,1,rbf,0.865
164,60,3,1,poly,0.75375
165,60,3,0.1,linear,0.74
166,60,3,0.1,rbf,0.85125
167,60,3,0.1,poly,0.7424999999999999
168,60,4,scale,linear,0.74
169,60,4,scale,rbf,0.85625
170,60,4,scale,poly,0.72375
171,60,4,auto,linear,0.74
172,60,4,auto,rbf,0.85875
173,60,4,auto,poly,0.7212500000000001
174,60,4,1,linear,0.74
175,60,4,1,rbf,0.865
176,60,4,1,poly,0.7462500000000001
177,60,4,0.1,linear,0.74
178,60,4,0.1,rbf,0.85125
179,60,4,0.1,poly,0.6975
180,60,5,scale,linear,0.74
181,60,5,scale,rbf,0.85625
182,60,5,scale,poly,0.76
183,60,5,auto,linear,0.74
184,60,5,auto,rbf,0.85875
185,60,5,auto,poly,0.7675
186,60,5,1,linear,0.74
187,60,5,1,rbf,0.865
188,60,5,1,poly,0.7637499999999999
189,60,5,0.1,linear,0.74
190,60,5,0.1,rbf,0.85125
191,60,5,0.1,poly,0.7662500000000001
